GPS1.UTCGregorian         Receiver.EarthFixedCS.X   Receiver.EarthFixedCS.Y   Receiver.EarthFixedCS.Z   
01 Jan 2026 13:38:00.000   -673.7423286777621        -5487.190927942031        3170.45650392851          
01 Jan 2026 13:39:00.000   -673.7423294314672        -5487.190928532987        3170.456502745561         
01 Jan 2026 13:40:00.000   -673.7423286777621        -5487.190927942031        3170.45650392851          
01 Jan 2026 13:41:00.000   -673.7423294363618        -5487.190928526818        3170.456502755196         
01 Jan 2026 13:42:00.000   -673.7423286777617        -5487.19092794203         3170.456503928509         
01 Jan 2026 13:43:00.000   -673.7423294412035        -5487.190928520611        3170.456502764912         
01 Jan 2026 13:44:00.000   -673.7423286777627        -5487.190927942032        3170.45650392851          
01 Jan 2026 13:45:00.000   -673.7423294459951        -5487.190928514363        3170.456502774709         
01 Jan 2026 13:46:00.000   -673.7423286777611        -5487.190927942033        3170.456503928511         
01 Jan 2026 13:47:00.000   -673.7423294507361        -5487.190928508072        3170.456502784585         
01 Jan 2026 13:48:00.000   -673.7423286777624        -5487.190927942032        3170.45650392851          
01 Jan 2026 13:49:00.000   -673.7423294554226        -5487.190928501744        3170.456502794542         
01 Jan 2026 13:50:00.000   -673.7423286777627        -5487.19092794203         3170.456503928511         
01 Jan 2026 13:51:00.000   -673.7423294600621        -5487.190928495378        3170.456502804574         
01 Jan 2026 13:52:00.000   -673.7423286777616        -5487.190927942032        3170.45650392851          
01 Jan 2026 13:53:00.000   -673.7423294646437        -5487.190928488973        3170.456502814686         
01 Jan 2026 13:54:00.000   -673.7423286777627        -5487.190927942032        3170.456503928509         
01 Jan 2026 13:55:00.000   -673.7423294691816        -5487.19092848253         3170.456502824874         
01 Jan 2026 13:56:00.000   -673.7423286777613        -5487.190927942031        3170.45650392851          
01 Jan 2026 13:57:00.000   -673.7423294736595        -5487.19092847605         3170.456502835138         
01 Jan 2026 13:58:00.000   -673.742328677762         -5487.190927942033        3170.45650392851          
01 Jan 2026 13:59:00.000   -673.7423294780857        -5487.190928469532        3170.456502845479         
01 Jan 2026 14:00:00.000   -673.7423286777614        -5487.190927942032        3170.456503928509         
01 Jan 2026 14:01:00.000   -673.7423294824581        -5487.190928462977        3170.456502855895         
01 Jan 2026 14:02:00.000   -673.7423286777625        -5487.190927942032        3170.456503928509         
01 Jan 2026 14:03:00.000   -673.742329486778         -5487.190928456386        3170.456502866385         
01 Jan 2026 14:04:00.000   -673.7423286777604        -5487.190927942028        3170.456503928509         
01 Jan 2026 14:05:00.000   -673.7423294910426        -5487.190928449759        3170.456502876947         
01 Jan 2026 14:06:00.000   -673.7423286777622        -5487.190927942032        3170.456503928511         
01 Jan 2026 14:07:00.000   -673.74232949525          -5487.190928443095        3170.456502887583         
01 Jan 2026 14:08:00.000   -673.7423286777616        -5487.190927942033        3170.45650392851          
01 Jan 2026 14:09:00.000   -673.7423294994078        -5487.190928436398        3170.456502898291         
01 Jan 2026 14:10:00.000   -673.7423286777631        -5487.190927942031        3170.45650392851          
01 Jan 2026 14:11:00.000   -673.742329503507         -5487.190928429665        3170.45650290907          
01 Jan 2026 14:12:00.000   -673.7423286777627        -5487.190927942031        3170.45650392851          
